Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1991,Butane,Alberta,PADD V,Railway,207459.8,1304880.65,22413741.52,19605935,10.803896,35.773824
1991,Butane,Alberta,PADD V,Truck,466,2931.0468,48161.3,42131.6559,10.335042,34.224282
1991,Butane,Alberta,Total,Pipeline,192565,1211195.337,23899908.4,20837252.83,12.411345,40.961408
1991,Butane,Alberta,Total,Railway,345331.9,2172068.585,38576047.34,33741158.67,11.170716,36.985803
1991,Butane,Alberta,Total,Truck,466,2931.0468,48161.3,42131.6559,10.335042,34.224282
1991,Butane,British Columbia,PADD II,Railway,19821,124670.1258,732738,639396.1111,3.696776,12.211136
1991,Butane,British Columbia,PADD IV,Railway,4531,28499.0838,163634,143104.2537,3.611432,11.955569
1991,Butane,British Columbia,PADD V,Railway,211473.1,1330123.504,23906971.98,20900251.87,11.30497,37.411759
1991,Butane,British Columbia,PADD V,Truck,5481.2,34475.65176,434612.3,378859.0428,7.929145,26.164579
1991,Butane,British Columbia,Total,Railway,235825.1,1483292.714,24803343.98,21682752.24,10.517686,34.804557
1991,Butane,British Columbia,Total,Truck,5481.2,34475.65176,434612.3,378859.0428,7.929145,26.164579
1991,Butane,Manitoba,PADD II,Railway,143883,904995.2934,18375513,16050267.44,12.771149,42.226447
1991,Butane,Manitoba,Total,Railway,143883,904995.2934,18375513,16050267.44,12.771149,42.226447
1991,Butane,Nova Scotia,PADD I,Railway,4545,28587.141,288958.9,253235.7217,6.357731,21.091276
1991,Butane,Nova Scotia,Total,Railway,4545,28587.141,288958.9,253235.7217,6.357731,21.091276
1991,Butane,Ontario,PADD I,Railway,165871.9,1043301.077,23504478.74,20530401.7,14.170259,46.852891
1991,Butane,Ontario,PADD I,Truck,590,3710.982,72570,64335.67673,12.3,41.27733
1991,Butane,Ontario,PADD II,Pipeline,383826.8,2414193.807,52397032.33,45686479.89,13.651217,45.057196
1991,Butane,Ontario,PADD II,Railway,785679,4941763.774,114251500.1,99720436.18,14.541753,48.045285
1991,Butane,Ontario,PADD II,Truck,13921,87560.3058,2478978.6,2146405.528,17.807475,58.365084
1991,Butane,Ontario,PADD V,Railway,3123,19643.0454,356022,310734.0639,11.4,37.664189
1991,Butane,Ontario,Total,Pipeline,383826.8,2414193.807,52397032.33,45686479.89,13.651217,45.057196
1991,Butane,Ontario,Total,Railway,954673.9,6004707.896,138112000.8,120561571.9,14.466929,47.804151
1991,Butane,Ontario,Total,Truck,14511,91271.2878,2551548.6,2210741.205,17.583547,57.670315
1991,Butane,Québec,PADD I,Railway,221,1390.0458,14652.3,12750.85734,6.63,21.840312
1991,Butane,Québec,Total,Railway,221,1390.0458,14652.3,12750.85734,6.63,21.840312
1991,Butane,Saskatchewan,PADD II,Pipeline,2099.7,13206.69306,182043.99,161053.8427,8.67,29.035252
1991,Butane,Saskatchewan,PADD II,Railway,86502.2,544081.5376,9431643.6,8251001.657,10.903356,36.106989
1991,Butane,Saskatchewan,PADD II,Truck,5252,33034.0296,566235.6,493665.4915,10.781332,35.581136
1991,Butane,Saskatchewan,PADD IV,Railway,1307.2,8222.02656,135034.71,118806.2991,10.330072,34.404021
1991,Butane,Saskatchewan,PADD V,Railway,359,2258.0382,43284,37471.30317,12.056824,39.510824
1991,Butane,Saskatchewan,Total,Pipeline,2099.7,13206.69306,182043.99,161053.8427,8.67,29.035252
1991,Butane,Saskatchewan,Total,Railway,88168.4,554561.6023,9609962.31,8407279.26,10.899553,36.095598
1991,Butane,Saskatchewan,Total,Truck,5252,33034.0296,566235.6,493665.4915,10.781332,35.581136
1991,Propane,Alberta,PADD II,Railway,16778.1,105530.8934,1540941.18,1346122.677,9.184241,30.370616
1991,Propane,Alberta,PADD II,Truck,448,2817.8304,49947.2,43224.74722,11.148928,36.522981
1991,Propane,Alberta,PADD IV,Railway,34910.9,219582.5788,2968482.03,2591271.669,8.503023,28.097237
1991,Propane,Alberta,PADD IV,Truck,83903.3,527734.9763,6525045.53,5698164.989,7.776863,25.707965
1991,Propane,Alberta,PADD V,Railway,174259.9,1096059.919,14532271.05,12681242.04,8.339423,27.547113
1991,Propane,Alberta,PADD V,Truck,10477,65898.2346,834969.22,728773.9591,7.969544,26.331019
1991,Propane,Alberta,Total,Railway,225948.9,1421173.391,19041694.26,16618636.38,8.427433,27.841772
1991,Propane,Alberta,Total,Truck,94828.3,596451.0413,7409961.95,6470163.696,7.814082,25.827898
1991,Propane,British Columbia,PADD II,Railway,2933,18447.9834,355524.9,312867.7692,12.121544,40.37946
1991,Propane,British Columbia,PADD III,Railway,16397,103133.8506,1199231.8,1056307.438,7.313726,24.385838
1991,Propane,British Columbia,PADD IV,Railway,7297.9,45902.33142,698277.55,606382.2311,9.568198,31.452873
1991,Propane,British Columbia,PADD IV,Truck,304.7,1916.50206,39262.2,34197.41177,12.885526,42.484699
1991,Propane,British Columbia,PADD V,Railway,93736.9,589586.3536,8368458.01,7301625.851,8.927602,29.486332
1991,Propane,British Columbia,PADD V,Truck,8143.3,51219.72834,866893.31,752140.8446,10.645479,34.963147
1991,Propane,British Columbia,Total,Railway,120364.8,757070.519,10621492.26,9277183.289,8.824417,29.176179
1991,Propane,British Columbia,Total,Truck,8448,53136.2304,906155.51,786338.2564,10.726272,35.234431
1991,Propane,Manitoba,PADD II,Railway,117828,741114.5544,10920163.9,9540468.22,9.267885,30.650172
1991,Propane,Manitoba,PADD II,Truck,37056.9,233080.4896,3575738.84,3130024.149,9.649319,31.973514
1991,Propane,Manitoba,PADD IV,Railway,120,754.776,14700,12717.31303,12.25,40.116761
